#Generations
Banners              || 2367/3457/5 || Exploding || The rule often produces ships with growing fluttering banners.{NL}{NL}A rule by Mirek Wojtowicz.
Frogs                || 12/34/3 || Chaotic || The name comes from very commonly occurring frog-like gliders.{NL}{NL}A rule by Scott Robert Ladd.
Frozen spirals       || 356/23/6 || Chaotic || The rule features a popular Zhabotinsky reaction, but with one distinction - spirals have icicles in their vertices.{NL}{NL}A rule by Mirek Wojtowicz.
Glisserati           || 035678/245678/7 || Chaotic || From simple seeds this rule is often highly glideriferous, generating striking kaleidoscopic patterns. Sometimes, though, as in the Glidathon orbit, it is more sparse, in the vein of rules such as Transers, but with much longer transients, providing an uncanny sense of "perpetual motion".{NL}{NL}A rule by John Elliott.
Glissergy            || 035678/245678/5 || Chaotic || This rule differs from Glisserati only in its cellsize (5 rather than 7).  As would be expected, this change is an activity booster - so much so, that, unlike Glisserati, this rule has long transients from random as well as simple starts.{NL}{NL}A rule by John Elliott.
Incredible Machines  || 345/2/6 || Exploding || A rule very similar to StarWars, but with greater patterns building potential.{NL}{NL}A rule by Mirek Wojtowicz.
Lava                 || 12345/45678/8 || Expanding || All patterns are very slowly filled with hot lava.{NL}{NL}A rule by Mirek Wojtowicz.
Lines                || 012345/458/3 || Stable || The rule quickly self-organizes into linear structures, with separate orthogonally hatched areas. To see most interesting behaviour seed the universe with a circle with r >= 40 and a density of 20%.{NL}{NL}A rule by Anders Starmark.
LivingOnTheEdge      || 345/3/6 || Chaotic || In this very chaotic rule its hard to tell if patterns will survive or die out.{NL}{NL}A rule by Mirek Wojtowicz.
MeteorGuns           || 01245678/3/8 || Expanding || Almost any design above a certain level of complexity results in a slowly exploding ball of fire which then spits fairly large numbers of generational gliders "meteors".There are easily discovered stable oscillators and static patterns. A truly satisfying environment (if only finding a limited growth meteor gun were as easy...).{NL}{NL}A rule by Charles A. Rockafellor.
Nova                 || 45678/2478/25 || Expanding || Patterns slowly grow. While growing they emit plasma streams.{NL}{NL}A rule by Mirek Wojtowicz.
OrthoGo              || 3/2/4 || Exploding || This simple rule supports spontaneous orthogonally productive "glider colliders". But otherwise it seems fairly quiescent.{NL}{NL}A rule by John Elliott.
Prairie on fire      || 345/34/6 || Exploding || This rule covers the lattice with fire. For best results use yellow-red cells color settings.{NL}{NL}A rule by Mirek Wojtowicz.
RainZha              || 2/23/8 || Exploding || The simplest "Zhabotinsky" style cellular automaton. It spontaneously generates spirals from an initial random pattern.{NL}{NL}A rule by Rudy Rucker and John Walker.
Rake                 || 3467/2678/6 || Exploding || This rule is a simple variation of the Worm rule and is characterized by the numerous rake puffers that it generates. Together with the puffers, it generates many ships and expanding wings. These elements can easily be arranged to collide and form ships and puffers of arbitrary complexity.{NL}{NL}A rule by Brian Prentice.
SediMental           || 45678/25678/4 || Exploding || From a random seed state of 30% ones, the rule tends to form stable "islands", with active coastlines and fascinating inter-island "commerce". But an orbits fate is quite sensitive to the starting percentage. Below 25% or so the world remains sparsely Brain-like, whereas somewhere above 30% the islands begin to accrete into larger "landmasses", so that by 40% you nearly always end up with a single huge "continent". As for simple seeds, they often lead to surprising results. And the rule clearly has great potential from the "engineering" standpoint.{NL}{NL}A rule by John Elliott.
Snake                || 03467/25/6 || Exploding || This rule is a simple variation of the Worm rule. It contains two interesting oscillators, a 3*3 square and a shuttle, among its basic elements. By combining copies of the square, many beautiful oscillators can be generated. The rule also generates many puffers one of which generates a sequence of shuttles. The tail generated by the shuttle puffer resembles a snake.{NL}{NL}A rule by Brian Prentice.
SoftFreeze           || 13458/38/6 || Chaotic || The rule is delicately poised between "solid" and "liquid" phases. From many simple seeds it forms "living crystals" - the crystals form, melt, and reform seemingly indefinitely, in balance with an active phase. The areas of melting can shrink to a point where youre sure everything will freeze over, and then they stage a comeback.{NL}{NL}A rule by John Elliott.
Spirals              || 2/234/5 || Exploding || The rule produces beautiful stable spirals that unroll forever.{NL}{NL}Author unknown.
StarWars             || 345/2/4 || Exploding || A very interesting and beautiful rule producing deep space battle scenes; a paradise for patterns creators.{NL}{NL}A rule by Mirek Wojtowicz.
Sticks               || 3456/2/6 || Exploding || This interesting rule builds a variety of sticks, with ships floating among them.{NL}{NL}A rule by Rudy Rucker.
Swirl                || 23/34/8 || Chaotic || A very twisted universe. Random patterns often create small isolated swirls that rotate forever isolated in the open space.{NL}{NL}A rule by Scott Robert Ladd.
ThrillGrill          || 1234/34/48 || Chaotic || Sparkling dynamics inhabit and rearrange a grill-like background of one-cells.{NL}{NL}A rule by John Elliott.
Transers             || 345/26/5 || Exploding || A beautiful and dynamic rule with many distinctive entities that occur "in the wild", with remarkable inter-entity transformations.{NL}{NL}A rule by John Elliott.
TransersII           || 0345/26/6 || Exploding || {NL}{NL}A rule by Michael Sweney.
Wanderers            || 345/34678/5 || Exploding || A rule very similar to "Prairie on fire", but creates interesting dynamically moving patterns.{NL}{NL}A rule by Mirek Wojtowicz.
Worms                || 3467/25/6 || Exploding || An unpleasant rule producing crowds of disgusting worms.{NL}{NL}A rule by Mirek Wojtowicz.
Xtasy                || 1456/2356/16 || Exploding || From simple seeds in a closed universe this is a lovely kaleidoscopic wave rule that tends to do extended meditations on the letter X.{NL}{NL}A rule by John Elliott.


#Life
2x2                  || 125/36 || Chaotic || Similar in character to Conways Life, but completely different patterns. Many different oscillators occur at random, and a rare glider. This rule is also a 2x2 block universe. This means that patterns consisting entirely of 2x2 blocks, all aligned, will continue to consist of 2x2 blocks.{NL}{NL}Author unknown.
34 Life              || 34/34 || Exploding || One of the first explored alternatives to Conways Life, back in the early 1970s. Computing power was so low back then, it was months before anyone noticed that this is an exploding universe. What makes this universe interesting is the variety of small oscillators and the period-3 orthogonal spaceship.{NL}{NL}Author unknown.
Amoeba               || 1358/357 || Chaotic || An "amoeba" universe - forms large random areas that resemble amoebas. Internal to a random area is chaos. The edge vacillates wildly, and patterns tend to grow more than shrink. The more they grow, the more certain their survival. This is a fairly well-balanced rule.{NL}{NL}Author unknown.
Assimilation         || 4567/345 || Stable || Rule similar to Diamoeba, but much more stable. The diamond-shaped patterns are filled in 70-85% and never die.{NL}{NL}Author unknown.
Coagulations         || 235678/378 || Exploding || Creates gooey coagulations as it expands forever. Best viewed at zoom=1. Notice that this is a close variation of the previous rule, 235678/3678, except that there is one less condition for a dead cell to come to life on the next generation. In general this should make a universe less active, but this is an exception.{NL}{NL}Author unknown.
Conway's Life        || 23/3 || Chaotic || The default rule. This is the most famous cellular automata ever invented. People have been discovering patterns for this rule since around 1970. Large collections are available on the Internet.{NL}{NL}A rule by John Conway.
Coral                || 45678/3 || Exploding || This rule produces patterns with a surprisingly slow rate of expansion and an interesting coral-like texture.{NL}{NL}Author unknown.
Day & Night          || 34678/3678 || Stable || So named because dead cells in fields of live cells act by the same rules as live cells in fields of dead cells. There are obviously other rules, which have this symmetrical property, but this rule was chosen because it has some interesting high period spaceships and oscillators. The properties of the rule were explored by David Bell.{NL}{NL}A rule by Nathan Thompson.
Diamoeba             || 5678/35678 || Chaotic || Creates solid diamond-shaped "amoeba" patterns that are surprisingly unpredictable. For a long time it was not known whether any diamonds expand forever, or if the tendency toward the catastrophic destruction of corners is too strong. Finally in March 1999 David Eppstein found the  c/7 spaceship, and David Bell made a 100% spacefiller out of it. {NL}{NL}A rule by Dean Hickerson.
Flakes               || 012345678/3 || Expanding || The rule produces beautiful flakes, starting from simple groups of cells. Try especially filled circles with radius > 20 cells.{NL}{NL}A rule by Janko Gravner.
Gnarl                || 1/1 || Exploding || A simple rule provided by Kellie Evans. To see its beauty start with simple patterns, for example with a single dot.
HighLife             || 23/36 || Chaotic || This rule is very similar to Conways Life, but it has a surprise replicator pattern. There is no known replicator in Conways Life.{NL}{NL}A rule by Nathan Thompson.
InverseLife          || 34678/0123478/2 || Chaotic || The rule shows similar oscilators and gliders to GOL, but dead cells create the patterns amongst live cells in the background.{NL}{NL}A rule by Jason Rampe.
Long life            || 5/345 || Stable || This rule is called "Long life" because of the extremely high period patterns that can be produced in this universe.{NL}{NL}A rule by Andrew Trevorrow.
Maze                 || 12345/3 || Exploding || An "a-maze-ing" universe - crystallizes into maze-like patterns. Interesting variations: try removing 5 from the "Survival" list. To produce mice running in the maze, add 7 to the "Births" list.{NL}{NL}Author unknown.
Mazectric            || 1234/3 || Exploding || "Mazectric" and "Corrosion of Conformity". An interesting variation of the maze rule which produces longer halls and a highly linear format. Adding B7 to maze (keeping S5) allows some "mice" to run back and forth in the halls. Switching the B3 to B45 though, electrifies the mazes. Dropping S3 gives "Corrosion of Conformity", a slow burn from almost any starting pattern, resulting in a rusting away of the local continuum.{NL}{NL}A rule by Charles A. Rockafellor.
Move                 || 245/368 || Stable || A very calm universe, which nonetheless has a very commonly occurring slow spaceship and a slow puffer.{NL}{NL}Author unknown.
Pseudo life          || 238/357 || Chaotic || In this close variation of Conways Life, the chaos is remarkably similar, but almost none of the engineered patterns work.{NL}{NL}Author unknown.
Replicator           || 1357/1357 || Exploding || In this remarkable universe every pattern is a replicator.{NL}{NL}Author unknown.
Seeds (2)            || /2 || Exploding || Every living cell dies every generation, but most patterns explode anyway. Its a challenge to build new patterns that dont explode. Arguably the simplest challenging rule.{NL}{NL}A rule by Brian Silverman.
Serviettes           || /234 || Exploding || Like /2, every living cell dies every generation. This rule is picked for the exceptional fabric-like beauty of the patterns that it produces.{NL}{NL}Author unknown.
Stains               || 235678/3678 || Stable || Most close variations of these rules expand forever, but this one curiously does not. Why?{NL}{NL}Author unknown.
WalledCities         || 2345/45678 || Stable || The rule creates walled cities of activity. Once the field has stabilized, one can draw lines to connect the cities and the patterns expand to create an even larger city. But once the wall is complete, the city never grows, even though there is near-random activity inside it.{NL}{NL}A rule by David Macfarlane.


#Weighted Life
Ben's Rule           || NW3,NN2,NE3,WW2,ME0,EE2,SW3,SS2,SE3,HI0,RS3,RS5,RS8,RB4,RB6,RB8 || Chaotic || An interesting chaotic rule with a commonly appearing orthogonal glider. Close variations of the rule support also diagonal gliders.{NL}{NL}A rule by Ben Schaeffer.
Border               || NW1,NN1,NE1,WW1,ME9,EE1,SW1,SS1,SE1,HI0,RS10,RS11,RS12,RS13,RS14,RS15,RS16,RB1,RB2,RB3,RB4,RB5,RB6,RB7,RB8 || Gliding || The effect of Border is that lines keep getting thick, splitting into two, having the new pieces get thick and split to make four, and so on. Many of the Border patterns are reminiscent of the mathematical objects called "Cantor sets." Strictly speaking, this version has 8 more states than traditional Border would, but it seems to allow easier perception of the overall dynamics.{NL}{NL}Author unknown. Coded in MCell by Charles A Rockafellor
Bricks               || NW5,NN2,NE5,WW2,ME0,EE2,SW5,SS2,SE5,HI3,RS10,RS12,RS14,RS16,RB7,RB13 || Gliding || A very original rule full of small square bricks gliding in all 4 directions. The rule features still life, gliders, puffers, guns.{NL}{NL}A rule by Mirek Wojtowicz.
Bustle               || NW2,NN1,NE2,WW1,ME0,EE1,SW2,SS1,SE2,HI4,RS2,RS4,RS5,RS7,RB3 || Exploding || A busy rule which generates many small ships and puffers. Large complicated ships can easily be built using combinations of colliding puffers. Several stretchers are also among the basic elements. The small ships can usually be expanded using simple techniques to generate ships of arbitrary width and height.{NL}{NL}A rule by Brian Prentice.
Career               || NW1,NN2,NE1,WW1,ME0,EE1,SW1,SS1,SE1,HI0,RS2,RS3,RB3 || Chaotic || What comes up, must go down. The professional career simulation. This rule is a very small modification of Conways Life (the upper cell counts as 2), yet the results are dramatically different.{NL}{NL}A rule by Mirek Wojtowicz.
Cloud54              || NW1,NN1,NE9,WW1,ME0,EE9,SW1,SS9,SE9,HI0,RS2,RS3,RS9,RS10,RS19,RS27,RB3,RB10,RB27 || Chaotic || An "L7" rotationally symmetrical weighted rule. The most interesting feature is a period 54 cloud that travels N by NE. Also commonly features hook shaped still lifes and gliders that travel in the NE direction exclusively, some leaving behind a single pixel trail.{NL}{NL}A rule by Ben Schaeffer.
Cloud75              || NW1,NN1,NE9,WW1,ME0,EE9,SW1,SS9,SE9,HI0,RS2,RS3,RS4,RS10,RS11,RS13,RS18,RS21,RS22,RS27,RS29,RS30,RS31,RS36,RS37,RS38,RS39,RS40,RB3,RB10,RB27 || Chaotic || An "L7" rotationally symmetrical weighted rule, variation of cloud54. The most interesting feature is a period 75 cloud that travels S and E by a ratio of 4 cells by 3 cells. Also commonly features some simple still lifes, a N glider, and a S by SW glider.{NL}{NL}A rule by Ben Schaeffer.
Conway               || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI0,RS2,RS3,RS6,RS7,RS10,RS11,RS15,RB3,RB7,RB11,RB15 || Chaotic || Conways Life: the most famous rule in orthogonal/diagonal weighted representation.{NL}{NL}A rule by John Conway.
Conway--             || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI0,RS3,RS6,RS7,RS10,RS11,RS15,RB3,RB7,RB11,RB15 || Chaotic || A Conway variation which subtracts the survival rule of 2 orthogonal neighbors, the result being that everything dies down quickly.{NL}{NL}A rule by Ben Schaeffer.
Conway++             || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI0,RS2,RS3,RS6,RS7,RS10,RS11,RS15,RS20,RB3,RB7,RB11,RB15 || Chaotic || A Conway variation which adds the survival rule of 4 diagonal neighbors, the result being that chaotic expansion is extended.{NL}{NL}A rule by Ben Schaeffer.
Conway+-1            || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI0,RS2,RS3,RS6,RS7,RS10,RS12,RS15,RB3,RB7,RB11,RB15 || Chaotic || A distant Conway variation, commonly features a  zigzag puffer train.{NL}{NL}A rule by Ben Schaeffer.
Conway+-2            || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI0,RS2,RS3,RS7,RS10,RS11,RS12,RS13,RS15,RB3,RB7,RB11,RB15 || Chaotic || A distant Conway variation.{NL}{NL}A rule by Ben Schaeffer.
CrossPorpoises       || NW1,NN4,NE1,WW4,ME0,EE4,SW1,SS4,SE0,HI0,RS2,RS3,RS6,RS7,RS8,RS9,RS10,RS12,RS13,RB5 || Chaotic || A weighted asymmetric colliding glider rule.{NL}{NL}A rule by Ben Schaeffer.
Cyclish              || NW0,NN1,NE0,WW1,ME0,EE1,SW0,SS1,SE0,HI7,RS2,RB1,RB2,RB3 || Cyclic || "Cyclish" is so named because of its uncanny resemblance to the "true" Cyclic CA.{NL}{NL}A rule by John Elliott.
Cyclones             || NW1,NN1,NE0,WW1,ME0,EE1,SW0,SS1,SE1,HI5,RS2,RS4,RS5,RB2,RB3,RB4,RB5 || Cyclic || This rule supports rotators similar to those in Swirl and Pinwheels, but the center of rotation itself travels - thatis, these rotators are gliders rather than stationary oscillators.{NL}{NL}A rule by John Elliott, October 2000
Dragon               || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI0,RS1,RS2,RS7,RS8,RS12,RS15,RS18,RS20,RB7,RB11,RB12,RB13,RB20 || Chaotic || A weighted orthogonal rule. Contains a period 48 oscillator that is reminiscent of a Chinese dragon and a variety of gliders, oscillators, and replicators. Most patterns expand orthogonally forever.{NL}{NL}A rule by Ben Schaeffer.
Emergence            || NW1,NN8,NE1,WW1,ME0,EE1,SW8,SS8,SE1,HI0,RS2,RS3,RS4,RS10,RS11,RS16,RS17,RS24,RS25,RB3,RB4,RB9,RB24 || Chaotic || An asymmetrical weighted rule. Fire like tendrils move chaotically downward and occasionally horizontal line still life or even gliders grow to the left, and, though rare, a pulsing \+* character glider can emerge.{NL}{NL}A rule by Ben Schaeffer.
Fire-flies           || NW1,NN5,NE1,WW5,ME10,EE5,SW1,SS5,SE1,HI9,RS1,RS10,RB6,RB11,RB12,RB21 || Stable || The small moving with the light speed patterns resemble fire-flies.{NL}{NL}A rule by Mirek Wojtowicz.
Fleas                || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI0,RS2,RS3,RS6,RS7,RS10,RS11,RS15,RS20,RB2,RB11 || Exploding || A rule with a familiar glider that has diagonally self-replicating "fleas" that leave "flea dust" behind them.{NL}{NL}A rule by Ben Schaeffer.
Fleas2               || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI0,RS1,RS2,RS5,RS7,RS10,RS11,RB2,RB4,RB8,RB11 || Exploding || A dynamic variation of the Fleas rule with a symmetric replicator.{NL}{NL}A rule by Ben Schaeffer.
FroggyHex            || NW4,NN1,NE0,WW1,ME0,EE4,SW0,SS4,SE1,HI0,RS1,RS6,RS8,RB5,RB6 || Exploding || A weighted hexagonal rule. Has a common period 2 glider that goes in 3 directions and a rare period 4 glider that goes in the other 3 directions, a rare glider generator, and a simple period 2 oscillator.{NL}{NL}A rule by Ben Schaeffer.
Frost M              || NW1,NN1,NE1,WW1,ME0,EE1,SW1,SS1,SE1,HI25,RB1 || Exploding || Frost rule in Moore neighbourhood. When started from single cells, it produces patterns similar to those appearing on window-panes on frosty days.{NL}{NL}A rule by Mirek Wojtowicz.
Frost N              || NW0,NN1,NE0,WW1,ME0,EE1,SW0,SS1,SE0,HI25,RB1 || Exploding || Frost rule in von Neumann neighbourhood. When started from single cells, it produces patterns similar to those appearing on window-panes on frosty days.{NL}{NL}A rule by Mirek Wojtowicz.
Gnats                || NW9,NN1,NE9,WW1,ME0,EE1,SW9,SS1,SE9,HI0,RS0,RS1,RS2,RS11,RS19,RB11,RB19 || Chaotic || A predecessor to fleas. This rule is simpler but has an interesting replicator.{NL}{NL}A rule by Ben Schaeffer.
Hex Inverse Fire     || NW4,NN1,NE0,WW1,ME0,EE4,SW0,SS4,SE1,HI0,RS2,RS3,RS6,RS7,RS8,RS9,RS11,RS12,RS13,RS14,RS15,RB5,RB10,RB11,RB14,RB15 || Chaotic || Callahan inverse fire: a variation on Callahans hexrule where heavily populated areas of live cells support hexrule life forms composed of dead cells.{NL}{NL}A rule by Ben Schaeffer.
HexParity            || NW1,NN1,NE0,WW1,ME0,EE1,SW0,SS1,SE1,HI0,RS0,RS2,RS4,RS6,RB1,RB3,RB5 || The hexagonal hood analogue to Fredkin's von Neumann version. It has the replicative properties of the original. The dot seed leads to some splendid designs in which the Star of David figures prominently.{NL}{NL}- J.Elliott || A rule by Edward Fredkin
Hexrule b2o          || NW1,NN2,NE0,WW32,ME0,EE4,SW0,SS16,SE8,HI0,RS5,RS7,RS10,RS11,RS13,RS14,RS15,RS17,RS19,RS20,RS21,RS22,RS23,RS25,RS26,RS27,RS28,RS29,RS30,RS34,RS35,RS37,RS38,RS39,RS40,RS41,RS42,RS43,RS44,RS45,RS46,RS49,RS50,RS51,RS52,RS53,RS54,RS56,RS57,RS58,RS60,RB3,RB6,RB12,RB24,RB33,RB48 || Chaotic || A somewhat "Life-like" 2-state hexagonal B2o/S2m34 rule. The rule has many properties associated with Life: gliders, reflectors, oscillators, still life, duplicators, reflectors, etc.{NL}{NL}A rule by Paul Callahan.
Hextenders           || NW1,NN1,NE0,WW1,ME0,EE1,SW0,SS1,SE1,HI10,RS1,RS3,RS4,RS5,RB2,RB3 || Chaotic || Nice crystal/active equipoise. Some real possibilities with this one.{NL}{NL}A rule by John Elliott.
HGlass               || NW0,NN2,NE0,WW8,ME1,EE16,SW0,SS4,SE0,HI0,RS1,RS2,RS3,RS11,RS21,RS25,RS29,RS30,RS31,RB1,RB2,RB3,RB11,RB21,RB25,RB29,RB30,RB31 || Stable || (Hour glass) The rule organizes a nice sliding flow on a random screen, and it disassembles solid starting patterns in an interesting way.{NL}{NL}A rule by Margolus and Toffoli.
Hogs                 || NW0,NN2,NE3,WW3,ME0,EE2,SW2,SS3,SE0,HI0,RS2,RS3,RS4,RS6,RB5,RB6 || Chaotic || A weighted hexagonal rule that has an oscillator, two gliders commonly occurring, and a still life.{NL}{NL}A rule by Ben Schaeffer.
Jitters              || NW-1,NN-1,NE5,WW5,ME0,EE5,SW5,SS-1,SE-1,HI0,RS4,RS14,RB1,RB4,RB9 || Chaotic || A rotationally symmetric weighted rule. Contains various gliders and oscillators all with a characteristic period 2 jitter. This rule uses negative weights for 4 cell neighbors and positive weights for the other 4 cell neighbors.{NL}{NL}A rule by Ben Schaeffer.
Lemmings             || NW1,NN2,NE1,WW2,ME0,EE2,SW1,SS3,SE1,HI0,RS3,RS4,RS5,RS6,RB4 || Chaotic || A vertically symmetric weighted rule. The only interesting feature is a period 2 glider that, with imagination, looks like an overhead view of a running rodent. With wrap off they hit a wall.{NL}{NL}A rule by Ben Schaeffer.
Linguini             || NW9,NN1,NE9,WW1,ME0,EE1,SW9,SS1,SE9,HI0,RS2,RS3,RS4,RS9,RS10,RS11,RS19,RS20,RB11,RB18 || Chaotic || A weighted orthogonal rule. Features chaotic expansion with a variety of orthogonally connected still lifes.{NL}{NL}A rule by Ben Schaeffer.
Madness              || NW2,NN3,NE2,WW3,ME0,EE3,SW2,SS3,SE2,HI0,RS8,RS10,RS12,RS14,RB5,RB8,RB13 || Chaotic || A dynamic rule with a big patterns-creating potential.{NL}{NL}A rule by Mirek Wojtowicz.
MazeMakers           || NW4,NN4,NE1,WW4,ME0,EE4,SW1,SS4,SE1,HI0,RS2,RS3,RS6,RS7,RS8,RS9,RS10,RS12,RS13,RB5 || Chaotic || A weighted asymmetric rule, variation of Cross Porpoises that creates orthogonal walls of a maze. Some walls often have oscillating flame-like ends sometimes generating gliders. Other walls grow and shrink upon collision with other walls.{NL}{NL}A rule by Ben Schaeffer.
MidgeDN              || NW2,NN2,NE2,WW1,ME0,EE1,SW2,SS1,SE2,HI9,RS0,RS2,RS3,RB4,RB5,RB6 || Stable || Although inspired by Midges, this rule produces quite different results.{NL}{NL}A rule by Ben Schaeffer.
Midges               || NW1,NN2,NE1,WW2,ME3,EE2,SW1,SS2,SE1,HI4,RS3,RS5,RS6,RB4,RB5,RB6 || Stable || This rule produces small midges, which produce small black stains...{NL}{NL}A rule by Mirek Wojtowicz.
MikesAnts            || NW0,NN1,NE1,WW1,ME0,EE0,SW1,SS1,SE1,HI0,RS4,RS5,RB2,RB5,RB6 || Gliding || The rule uses N,NE,W,SW,S, and SE neighbors, and has births for 2, 5, or 6 live neighbors and survivors for 4 or 5 live neighbors. This rule has lots of different glider species.{NL}{NL}A rule by Mike Creutz.
Mosquito             || NW-1,NN-1,NE5,WW5,ME0,EE5,SW5,SS-1,SE-1,HI0,RS3,RS4,RS8,RS9,RB2,RB3,RB9 || Exploding || A rotationally symmetric rule. Shares some Conway still lifes, features a rotating L shape, and orthogonal gliders.{NL}{NL}A rule by Ben Schaeffer.
Mosquito2            || NW-1,NN-1,NE5,WW5,ME0,EE5,SW5,SS-1,SE-1,HI0,RS3,RS4,RS8,RS9,RB3,RB6,RB9,RB18 || Exploding || A variation of the mosquito birth rule. Adds diagonal and spinning gliders.{NL}{NL}A rule by Ben Schaeffer.
Navaho1              || NW4,NN1,NE4,WW5,ME7,EE5,SW4,SS1,SE4,HI12,RS8,RS9,RS11,RB2,RB5 || Exploding || {NL}{NL}A rule by Michael Sweney.
Nocturne             || NW1,NN1,NE0,WW1,ME0,EE1,SW0,SS1,SE1,HI4,RS1,RS6,RB2,RB3,RB4 ||  || Features an emergent "free form" period-57 oscillator that is somewhat reminiscent of the objects in Schaeffer's cloud rules, except there is no displacement.  There are also some fairly strange gliders.  In general, the denizens of this rule are the sort you might bump into at 2AM, having taken the wrong path back from the HexParity star party :){NL}{NL}A rule by John Elliott, October 2000
NoFleas2             || NW5,NN1,NE5,WW1,ME0,EE1,SW5,SS1,SE5,HI0,RS2,RS3,RS5,RS6,RS7,RS10,RS11,RB2,RB4,RB8,RB11 || Exploding || Variation of Fleas2 that lacks the replicator but supports some interesting gliders.{NL}{NL}A rule by Ben Schaeffer.
Parity               || NW0,NN1,NE0,WW1,ME1,EE1,SW0,SS1,SE0,HI0,RS1,RS3,RS5,RB1,RB3,RB5 || Exploding || Parity rule, a very simple example of "self-reproduction" in cellular automata using the von Neumann neighbourhood.{NL}{NL}A rule by Edward Fredkin.
Pictures             || NW0,NN1,NE0,WW1,ME0,EE1,SW0,SS1,SE0,HI0,RS1,RS2,RS3,RB2,RB3,RB4 || Stable || A beautiful rule using the von Neumann neighbourhood. All patterns tend to form rectangular shapes, filled with sparkling cells.{NL}{NL}A rule by Mirek Wojtowicz.
PicturesH            || NW0,NN1,NE0,WW1,ME0,EE1,SW0,SS1,SE0,HI9,RS1,RS2,RS3,RB2,RB3,RB4 || Stable || Pictures with History - variation on the Pictures rule using the von Neumann neighbourhood. All patterns tend to form rectangular shapes, filled with sparkling cells.{NL}{NL}A rule by Mirek Wojtowicz.
